transactionId,userId,timestamp,amount,currency,city,country,merchantName,paymentMetod,ipAddress
37b9b83b-1258-4ec6-b58c-2a0a4707496c,davidjenkins,1985-02-19,78.34,USD,Thomasview,Micronesia,Price Group,debit_card,135.96.219.163
47703859-c387-4818-a312-af6f0ccfb18d,hsavage,1992-07-15,767.18,GBP,East Allen,Turkmenistan,"Gutierrez, Jones and Hicks",credit_card,91.178.99.180
76e19155-1c88-4b8e-baa9-b1e27cb7a962,stevensvicki,1974-09-28,809.32,USD,Gregorymouth,Kenya,"Lopez, Newton and Johnson",debit_card,176.195.159.75
387fa861-2923-4a30-b6ce-cc99465331a4,smithbrandi,2011-01-01,697.7,GBP,Port Christinafort,Nepal,Green LLC,debit_card,109.14.0.95
8f6c51a9-358c-43c8-90cb-880f049134f4,qrubio,1971-04-10,918.52,GBP,Jeremyton,United Kingdom,Merritt Inc,debit_card,80.73.119.214
5fe5b30b-e9de-4428-ba8f-44ec23e89a95,crystal33,1971-03-25,61.15,USD,Galvanchester,Israel,"Blankenship, Arnold and Jordan",debit_card,157.253.216.227
c336d32f-31dc-4cd0-8bf4-f86c52f97247,danielle39,2005-12-10,680.29,USD,Port Samuel,Madagascar,Hill-Pratt,debit_card,14.46.160.204
2910d65c-103a-416c-8c91-c375fd187ce1,wendy82,1988-06-26,971.5,USD,West Matthew,Bahamas,Mcguire LLC,debit_card,187.249.238.50
96985f09-7260-41e6-97a3-6d7db3605c6e,jessicalong,2016-05-17,198.33,USD,West Kristafurt,Algeria,Edwards-Williams,online_transfer,45.220.229.181
28acc9a7-e157-4e27-93c5-bff3d31f5776,tdurham,2014-06-15,982.37,USD,Port Kimberly,Guam,Weeks-Leach,online_transfer,137.232.164.97
89405719-1dc9-4623-84de-e803c355915e,beasleydaniel,1978-06-08,626.52,USD,North Jacob,Lithuania,Bowen Group,online_transfer,87.165.129.63
6bfdeb91-5650-4996-b858-691131ed2c55,ogutierrez,2013-03-20,258.05,GBP,Lake Courtneyburgh,Suriname,Harper-Li,debit_card,51.1.208.5
2398bc31-2c19-4a3b-a03a-9be999d2e93c,roysmith,2020-10-19,76.51,GBP,Port Ryanport,Aruba,Murphy Ltd,online_transfer,165.74.12.163
ee57b1c2-0923-4340-8912-8c1b50e93272,pwallace,2018-08-13,59.01,USD,Port Marciafurt,Somalia,Juarez Group,credit_card,7.177.187.34
67fc054a-bcfe-4555-a52e-9c6cae5c8e9b,curtishoward,1996-05-23,248.51,GBP,Emilybury,Equatorial Guinea,Lambert PLC,online_transfer,28.45.72.254
52e15849-4a8b-42db-84e4-fce007848a7b,carmen74,2015-07-08,448.42,USD,Cynthiatown,Mauritius,"Daniel, Baxter and Jones",debit_card,185.214.52.105
c0aaebab-bc32-4c55-be9a-69d414b296c7,courtney70,1983-06-03,395.61,USD,West Ronald,Liechtenstein,Ramsey PLC,credit_card,32.47.166.158
c02a9c6b-d220-4563-bf46-6c85ceb3eece,kevinwilliams,1983-09-09,862.52,GBP,South Alexander,Pakistan,Ochoa Group,online_transfer,201.117.32.227
9b841e6c-f7fd-4caa-ab61-f420b889286e,michaelrobinson,2009-07-21,411.74,GBP,North Brianburgh,Guatemala,Davis PLC,debit_card,223.38.103.130
b75741bb-d012-4ebc-a891-2fc68462c89f,williamskenneth,1997-07-04,589.68,USD,Port James,Martinique,"Green, Allen and Stone",credit_card,150.188.30.3
7a1ba7dc-fe2e-4add-a175-6777df56ff23,ngreen,1986-02-18,151.98,USD,Campbellstad,South Africa,Adkins PLC,online_transfer,201.89.33.195
70efe4d6-148e-4fea-8779-0924bf5f1804,farleymanuel,1990-10-27,508.72,GBP,North Mathewmouth,Equatorial Guinea,"Chung, Adams and Newman",debit_card,138.188.13.100
8193beca-b6df-4405-a140-aab7829be644,christopherdecker,1994-12-27,902.1,USD,Beardland,United States Minor Outlying Islands,Guzman and Sons,debit_card,204.46.98.165
91dc549b-fdcc-48ae-bceb-120a1525a3a5,jessicalloyd,1996-03-20,852.59,USD,Matthewton,Qatar,Friedman-Green,debit_card,144.208.228.111
2e1ab0a4-d077-48f1-a066-9a99dc0c10ca,yfrench,2017-05-13,677.26,GBP,Allisonfort,Saint Vincent and the Grenadines,Rodriguez-Williamson,credit_card,215.8.171.236
818cf366-12bd-4cdf-b30c-c0b2b60881cd,finleybrittney,2000-10-07,737.52,USD,New Tammy,Malawi,"Watkins, Olsen and Christensen",online_transfer,77.162.94.215
92976321-4fff-4f8c-9e0b-e3be1fda6ae2,kimberly01,2020-05-27,16.19,GBP,Christopherberg,Poland,French-Brennan,credit_card,18.232.195.227
bc4ed218-a6a8-48d9-b69b-5131151185ef,michael04,2021-12-09,200.53,GBP,Christinafort,Samoa,Ballard Group,debit_card,197.199.110.148
df6c9762-21d9-4571-b3cf-926f3f5cc1c3,johnhuff,2008-12-10,515.08,GBP,South Elizabethfurt,Comoros,Wilson-Golden,online_transfer,223.49.178.61
c9d756ee-cf9b-44f6-93ae-822c31c776b1,davidjones,2011-06-29,885.0,GBP,Lake Eric,Uruguay,Hodges-Walker,credit_card,177.55.179.53
c042fa0c-460f-4ca9-8690-274c76d0d4cf,garycruz,1987-08-22,476.13,USD,North Herbert,Hungary,"Lucas, Clarke and Weiss",debit_card,104.175.248.82
